市区,小区,户型,朝向,楼层,装修情况,电梯,面积(㎡),价格(万元),年份,Id,
海淀,东王庄,3室1厅,南北,6,精装,,90,835,1997,1.01E+11,
海淀,北洼东里,3室2厅,东西,18,精装,有电梯,98,839,1999,1.01E+11,
海淀,田村39号院,2室1厅,南北,6,简装,,72,490,1996,1.01E+11,
海淀,翠微南里,2室1厅,南,18,简装,有电梯,81,720,1990,1.01E+11,
海淀,西山公馆,3室1厅,南北,7,精装,有电梯,150,1250,2010,1.01E+11,
海淀,铭科苑,3室1厅,西北,18,其他,有电梯,114,560,1999,1.01E+11,
海淀,知春路82号院,3室1厅,西南,20,其他,有电梯,115,1350,1998,1.01E+11,
海淀,紫竹花园,2室1厅,东,25,简装,有电梯,164,1150,2001,1.01E+11,
海淀,北河沿,3室1厅,南北,6,其他,无电梯,57,630,1988,1.01E+11,
海淀,生态园,2室1厅,南北,3,简装,无电梯,62,560,1994,1.01E+11,
丰台,莲怡园北路1号院,3室1厅,东南,6,简装,无电梯,79,545,1998,1.01E+11,
丰台,张仪村4号院,1室1厅,南,6,其他,无电梯,42,230,1995,1.01E+11,
丰台,角门东里,2室1厅,东北,19,精装,有电梯,73,380,1995,1.01E+11,
丰台,未来明珠,2室1厅,东北,18,精装,有电梯,110,625,2003,1.01E+11,
丰台,春园,2室1厅,西南,24,精装,,98,500,2001,1.01E+11,
丰台,西四环南路96号,2室1厅,南,6,简装,无电梯,57,310,1989,1.01E+11,
丰台,程庄路3号院,2室1厅,南北,6,精装,无电梯,60,270,1980,1.01E+11,
丰台,青塔东里,2室1厅,南北,7,简装,,84,450,2000,1.01E+11,
丰台,期颐百年,2室1厅,南西,9,简装,,87,419,2011,1.01E+11,
丰台,万源北路7号院,2室2厅,东南,16,精装,有电梯,93,419,2012,1.01E+11,
丰台,北大地四里,2室1厅,南北,6,精装,无电梯,64,380,1991,1.01E+11,
丰台,芳古园二区,4室2厅,东北,22,精装,,171,1196,2000,1.01E+11,
丰台,万泉寺东路9号院,3室2厅,西北,14,简装,,105,610,2008,1.01E+11,
丰台,鹏润家园,3室2厅,西南,30,其他,有电梯,207,1250,2001,1.01E+11,
丰台,玉林东里一区,3室1厅,南北,6,精装,,69,445,1995,1.01E+11,
丰台,角门16号院,2室1厅,南北,6,其他,无电梯,60,345,1998,1.01E+11,
丰台,尚西泊图,3室1厅,东南,21,其他,,127,750,2004,1.01E+11,
丰台,天骄俊园9号院,2室1厅,南北,15,精装,,96,520,2012,1.01E+11,
丰台,广安﹒康馨家园,2室1厅,南,18,简装,,69,332,2015,1.01E+11,
丰台,广安﹒康馨家园,2室1厅,南,34,其他,,72,345,2015,1.01E+11,
丰台,广安﹒康馨家园,2室1厅,南北,28,简装,,73,350,2014,1.01E+11,
丰台,广安﹒康馨家园,2室1厅,南北,26,简装,有电梯,76,365,2013,1.01E+11,
丰台,芳星园三区,3室1厅,南北,15,简装,,86,490,2000,1.01E+11,
丰台,菊源里,4室2厅,南北,6,其他,,156,760,2001,1.01E+11,
丰台,康泽园,2室1厅,东南,20,简装,有电梯,89,460,2001,1.01E+11,
丰台,芳城园一区,3室1厅,东南,27,简装,有电梯,97,614,1994,1.01E+11,
丰台,翠海明苑,2室1厅,南北,6,精装,无电梯,90,550,2005,1.01E+11,
丰台,北京方向,1室1厅,南,14,精装,,61,385,2015,1.01E+11,
丰台,洋桥北里,2室1厅,东西,6,简装,无电梯,59,335,1988,1.01E+11,
丰台,蔚园,3室1厅,西,20,其他,有电梯,94,500,1996,1.01E+11,
昌平,秋实家园,3室2厅,南北,6,简装,,127,335,2000,1.01E+11,
昌平,石坊院,2室1厅,南北,28,简装,有电梯,130,475,2010,1.01E+11,
昌平,新悦家园,1室0厅,南,6,精装,无电梯,38,200,2003,1.01E+11,
昌平,善缘嘉园,1室1厅,北,6,简装,无电梯,22,138,2006,1.01E+11,
昌平,温泉花园B区,1室1厅,南北,6,精装,,56,252,2002,1.01E+11,
昌平,石坊院,1室1厅,南,6,精装,无电梯,54,245,1989,1.01E+11,
昌平,天通公园里,1室0厅,东西,21,精装,有电梯,48,295,2008,1.01E+11,
昌平,蓝郡国际花园,1室0厅,东,15,简装,有电梯,53,230,2009,1.01E+11,
昌平,京科苑,3室1厅,南北,6,其他,无电梯,118,370,1998,1.01E+11,
昌平,流星花园三区,1室0厅,北,11,其他,,47,300,2006,1.01E+11,
昌平,水屯家园,3室1厅,南北,6,其他,无电梯,120,315,2003,1.01E+11,
昌平,名流花园,2室2厅,南北,7,简装,无电梯,91,360,1996,1.01E+11,
昌平,纳帕澜郡,3室2厅,南北,12,其他,,139,518,2013,1.01E+11,
昌平,天通公园里,3房间2卫,西南,24,精装,有电梯,54,248,2008,1.01E+11,
昌平,上北鑫座,1房间1卫,南,7,精装,有电梯,38,125,2012,1.01E+11,
昌平,名流花园,3室2厅,西南,7,简装,无电梯,128,420,1998,1.01E+11,
昌平,云趣园一区,3室2厅,南北,7,简装,无电梯,145,510,2000,1.01E+11,
昌平,王府园中园六区,3室2厅,南北,6,精装,,212,750,2001,1.01E+11,
昌平,和平街东里,3室1厅,南北,6,精装,无电梯,87,290,1994,1.01E+11,
昌平,北街家园七区,1室1厅,西,17,简装,有电梯,19,180,2010,1.01E+11,
昌平,东亚奥北中心北区,1房间0卫,北,20,精装,有电梯,30,110,2008,1.01E+11,
昌平,天通苑北二区,4室1厅,南北,12,其他,有电梯,186,860,2005,1.01E+11,
昌平,蓬莱苑C区,5室2厅,南北,2,精装,,213,1500,2003,1.01E+11,
昌平,龙山跃,3房间2卫,东西,24,精装,,58,220,2006,1.01E+11,
昌平,北回归线,2房间1卫,北,7,精装,,66,235,2009,1.01E+11,
昌平,天通苑本六区,3室1厅,南北,6,简装,,131,445,2001,1.01E+11,
昌平,远洋傲北,5室2厅,南北,3,毛坯,,333,1250,2013,1.01E+11,
昌平,秋实家园,3室1厅,南北,6,简装,无电梯,123,318,2000,1.01E+11,
大兴,东亚五环国际,1房间1卫,西,17,精装,,34,104,2014,1.01E+11,
大兴,金融街漫香林第6区,4房间1卫,东西,9,精装,,86,350,2016,1.01E+11,
大兴,东亚五环国际,4房间2卫,南,19,精装,有电梯,109,319,2014,1.01E+11,
大兴,中建国际港,3室1厅,南北,29,简装,有电梯,141,760,2015,1.01E+11,
大兴,中建国际港,3室2厅,南北,29,其他,有电梯,136,760,2015,1.01E+11,
大兴,东亚五环国际,3房间1卫,东,19,简装,有电梯,93,230,2014,1.01E+11,
大兴,金融街漫香林第6区,4房间1卫,南北,9,精装,,93,330,2016,1.01E+11,
大兴,珺悦国际,4房间2卫,南,28,精装,有电梯,140,350,2014,1.01E+11,
大兴,东亚五环国际,3房间1卫,西南,20,简装,有电梯,97,265,2014,1.01E+11,
大兴,珺悦国际,4房间2卫,南北,28,精装,有电梯,157,405,2014,1.01E+11,
大兴,东亚五环国际,4房间2卫,西南,19,精装,有电梯,123,370,2014,1.01E+11,
大兴,中建国际港,4室2厅,南北,33,其他,有电梯,153,875,2015,1.01E+11,
大兴,中建国际港,2室1厅,南,29,其他,有电梯,88,480,2015,1.01E+11,
大兴,首座御园二区二期,3室1厅,南北,15,精装,,116,525,2015,1.01E+11,
大兴,翰林庭院,3室2厅,东西,12,简装,有电梯,155,530,2007,1.01E+11,
大兴,龙湖时代天街,4室1厅,南北,26,简装,,169,788,2014,1.01E+11,
大兴,保利春天里,1室1厅,东南,29,精装,有电梯,58,267,2014,1.01E+11,
大兴,东亚五环国际,4房间2卫,东南,19,其他,有电梯,123,295,2014,1.01E+11,
大兴,珺悦国际,3房间2卫,西北,8,精装,,101,240,2014,1.01E+11,
大兴,云立方,2室1厅,南北,19,简装,,84,354,2014,1.01E+11,
大兴,金融街漫香林第6区,4房间1卫,东西,9,精装,,89,300,2016,1.01E+11,
大兴,鑫苑鑫都汇,3房间1卫,西,14,精装,有电梯,43,160,2015,1.01E+11,
房山,旭辉E天地,2房间1卫,南,14,精装,有电梯,35,160,2015,1.01E+11,
房山,怡和南路11号院,1房间1卫,东,8,精装,,42,110,2016,1.01E+11,
房山,怡和南路11号院,1房间1卫,东,8,其他,,46,140,2016,1.01E+11,
房山,辰光嘉园,5室2厅,南北,15,其他,,234,658,2003,1.01E+11,
房山,长阳半岛怡和路6号院,3室2厅,南北,4,其他,,139,695,2015,1.01E+11,
房山,怡和南路11号院,2房间1卫,东,8,精装,,42,108,2016,1.01E+11,
房山,中国铁建原香漫谷,2室2厅,南,19,毛坯,,95,252,2015,1.01E+11,
房山,北京城建琨廷,2室1厅,南,9,精装,,85,255,2013,1.01E+11,
房山,中冶蓝城,2室1厅,南北,16,精装,,89,255,2014,1.01E+11,
房山,五和万科长阳天地,2房间2卫,西,5,精装,,47,135,2016,1.01E+11,
房山,旭辉E天地,2房间1卫,北,13,毛坯,有电梯,35,99,2015,1.01E+11,
房山,首开熙悦睿府书香,1房间1卫,东,18,精装,,50,119,2014,1.01E+11,
房山,伟业嘉园西里,2室1厅,北,5,简装,无电梯,39,200,2005,1.01E+11,
房山,苏庄一里小区,3室1厅,东西,6,简装,无电梯,88,310,2000,1.01E+11,
房山,旭辉E天地,2房间1卫,南,14,简装,有电梯,38,150,2015,1.01E+11,
平谷,首城汇景湾,2室2厅,南北,18,其他,,87,210,2014,1.01E+11,
平谷,首城汇景湾,1室1厅,东北,18,其他,,67,199,2014,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,12,精装,,124,420,2015,1.01E+11,
平谷,新华联慧谷,2室2厅,南北,17,精装,,102,285,2015,1.01E+11,
平谷,中昂邑上原著,2室1厅,南北,12,精装,,76,320,2015,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,18,其他,,134,360,2014,1.01E+11,
平谷,首城汇景湾,2室2厅,南北,18,其他,,88,230,2014,1.01E+11,
平谷,首城汇景湾,2室2厅,南北,11,其他,,89,260,2015,1.01E+11,
平谷,首城汇景湾,1室1厅,南北,18,其他,,74,190,2014,1.01E+11,
平谷,首城汇景湾,3室1厅,南北,18,其他,,116,270,2014,1.01E+11,
平谷,首城汇景湾,2室2厅,南北,16,精装,,91,260,2014,1.01E+11,
平谷,首城汇景湾,4室2厅,南北,13,精装,,194,480,2014,1.01E+11,
怀柔,龙山新新小镇六期,5室2厅,南北,2,精装,,457,1800,2009,1.01E+11,
怀柔,顶秀美泉小镇,2室1厅,南北,4,精装,,89,430,2010,1.01E+11,
怀柔,龙山新新小镇六期,6室4厅,南北,2,精装,,163,850,2008,1.01E+11,
怀柔,融城园南区,3室1厅,南北,1,简装,,87,330,1998,1.01E+11,
怀柔,龙山新新小镇六期,5室3厅,南北,2,精装,,585,2100,2008,1.01E+11,
怀柔,欧郡香水城,5室2厅,南北,2,毛坯,,343,1030,2011,1.01E+11,
怀柔,八龙桥雅苑,5室2厅,东南,2,其他,,307,1150,2008,1.01E+11,
怀柔,龙山新新小镇六期,4室2厅,南北,2,简装,,163,800,2008,1.01E+11,
怀柔,顶秀美泉小镇,3室2厅,南北,4,其他,,133,530,2010,1.01E+11,
怀柔,顶秀美泉家园,3室2厅,南北,4,其他,,88,430,2012,1.01E+11,
怀柔,融城园北区,3室1厅,南北,6,精装,,104,310,2003,1.01E+11,
怀柔,融城园南区,3室1厅,南北,6,其他,,80,235,1997,1.01E+11,
怀柔,益田影人四季花园,2室2厅,南北,8,精装,,103,413,2012,1.01E+11,
怀柔,欧郡香水城,5室3厅,南北,2,精装,,345,1150,2008,1.01E+11,
怀柔,康馨家园,1室1厅,东北,6,简装,,57,220,2003,1.01E+11,
密云,首创澜茵山,4室1厅,南北,16,简装,,123,250,2016,1.01E+11,
密云,君山别墅,3室2厅,南北,2,毛坯,,391,1000,2011,1.01E+11,
密云,君山别墅,5室3厅,南北,2,精装,,468,1400,2012,1.01E+11,
密云,京溪小区,3室1厅,南北,6,其他,,102,210,2007,1.01E+11,
密云,檀州家园东区,3室2厅,南北,6,其他,,141,308,2006,1.01E+11,
密云,保利花园,2室1厅,西北,6,精装,,74,223,2011,1.01E+11,
密云,保利花园,3室2厅,南北,6,其他,,123,320,2011,1.01E+11,
密云,首创澜茵山,3室2厅,南北,16,其他,,123,265,2014,1.01E+11,
密云,石桥西区,3室2厅,南北,6,其他,,102,240,2009,1.01E+11,
密云,果园新里南区,3室2厅,南北,6,精装,,108,260,2004,1.01E+11,
密云,首创澜茵山,3室2厅,南北,7,其他,,98,230,2016,1.01E+11,
密云,檀城西区,6室2厅,南北,6,精装,,198,398,2009,1.01E+11,
平谷,峪上桃墅林,3室2厅,南北,2,精装,,121,320,2007,1.01E+11,
平谷,首城汇景湾,2室1厅,西南,12,毛坯,,85,230,2014,1.01E+11,
平谷,首城汇景湾,2室1厅,南北,8,精装,,86,238,2014,1.01E+11,
平谷,首城汇景湾,2室1厅,南,18,精装,,87,253,2014,1.01E+11,
平谷,首城汇景湾,3室1厅,南北,9,毛坯,,127,390,2014,1.01E+11,
平谷,首城汇景湾,2室1厅,南,18,其他,,87,260,2014,1.01E+11,
平谷,首城汇景湾,2室2厅,南北,10,精装,,87,236,2014,1.01E+11,
平谷,首城汇景湾,2室2厅,南北,10,其他,,87,238,2014,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,9,毛坯,,157,445,2014,1.01E+11,
平谷,腾飞园,3室2厅,西南,18,精装,,134,295,2016,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,9,精装,,134,365,2014,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,9,精装,,152,380,2014,1.01E+11,
平谷,首城汇景湾,3室1厅,南北,12,其他,,131,310,2015,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,9,毛坯,,139,370,2014,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,11,简装,,135,340,2014,1.01E+11,
平谷,新华联慧谷,2室1厅,南北,18,其他,,87,245,2015,1.01E+11,
平谷,首城汇景湾,2室1厅,南北,18,其他,,86,265,2014,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,18,其他,,118,295,2014,1.01E+11,
平谷,首城汇景湾,1室1厅,西北,18,精装,,67,210,2014,1.01E+11,
平谷,首城汇景湾,2室1厅,南,18,其他,,85,235,2014,1.01E+11,
平谷,新华联慧谷,2室2厅,南北,17,其他,,101,275,2015,1.01E+11,
平谷,新华联慧谷,2室2厅,东南,17,精装,,102,285,2015,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,15,毛坯,,337,780,2014,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,18,其他,,117,330,2014,1.01E+11,
平谷,紫贵御园,3室2厅,南北,17,精装,,107,305,2016,1.01E+11,
平谷,首城汇景湾,3室2厅,南北,18,毛坯,,136,338,2014,1.01E+11,
平谷,首城汇景湾,3室1厅,南北,9,毛坯,,151,350,2014,1.01E+11,
平谷,新华联慧谷,3室2厅,南北,18,其他,,125,328,2016,1.01E+11,
平谷,首城汇景湾,2室2厅,南北,11,简装,,88,260,2014,1.01E+11,
门头沟,潭墅苑,3室1厅,南北,4,精装,无电梯,170,596,2006,1.01E+11,
门头沟,新桥路小区,2室1厅,南北,6,简装,无电梯,65,252,1992,1.01E+11,
门头沟,皓月园,3室1厅,南北,16,精装,有电梯,118,534.6,2005,1.01E+11,
门头沟,中国铁建梧桐汇,3房间1卫,西南,25,简装,,86,260,2015,1.01E+11,
门头沟,向东楼小区,2室1厅,东南,6,其他,无电梯,88,340,1993,1.01E+11,
门头沟,惠民家园,1室0厅,南,15,简装,,53,228,2010,1.01E+11,
门头沟,西山环路3号院,3室2厅,南北,7,精装,有电梯,141,776,2015,1.01E+11,
门头沟,门头沟月季园,2室1厅,南,6,简装,无电梯,62,238,1988,1.01E+11,
门头沟,新桥东街,2室1厅,东,6,其他,无电梯,66,229,1994,1.01E+11,
门头沟,新桥大街61号院,2室1厅,南北,6,精装,无电梯,83,310,1995,1.01E+11,
门头沟,皓月园,1室1厅,南,16,简装,有电梯,66,278,2002,1.01E+11,
门头沟,绿岛家园,4室2厅,南北,4,其他,无电梯,195,799,2006,1.01E+11,
门头沟,城子西七棵树90号院,2室1厅,东西,6,简装,无电梯,74,262,2007,1.01E+11,
门头沟,新桥路小区,2室1厅,南北,6,简装,无电梯,49,215,1992,1.01E+11,
门头沟,新桥大街39号院,2室1厅,南,6,简装,无电梯,64,260,1995,1.01E+11,
门头沟,檀香府,3室2厅,南北,8,毛坯,,171,850,2016,1.01E+11,
门头沟,冯村嘉园一区,2室2厅,南北,6,简装,无电梯,103,430,2002,1.01E+11,
门头沟,新桥路小区,2室1厅,南北,6,简装,无电梯,66,298,1993,1.01E+11,
门头沟,新桥路小区,2室1厅,南北,6,简装,无电梯,49,200,1992,1.01E+11,
门头沟,惠泽家园,2室1厅,南北,6,其他,无电梯,89,311,2010,1.01E+11,
门头沟,绿岛家园,3室2厅,南北,6,精装,无电梯,170,620,2006,1.01E+11,
门头沟,南宫,2室0厅,南北,4,简装,,39,155,1958,1.01E+11,
门头沟,檀香府,3室1厅,南北,6,其他,,135,649,2016,1.01E+11,
门头沟,增产路大街42号院,2室1厅,南北,6,简装,无电梯,79,248,1993,1.01E+11,
门头沟,含晖苑,1室1厅,南,14,精装,有电梯,66,279,2007,1.01E+11,
门头沟,梧桐苑知秋园,2室1厅,南,24,简装,有电梯,83,380,2013,1.01E+11,
门头沟,金泰丽湾悦栖山,2室1厅,南,21,精装,有电梯,92,398,2015,1.01E+11,
门头沟,金泰丽湾悦栖山,4室2厅,南北,19,毛坯,有电梯,220,945,2015,1.01E+11,
门头沟,西山环路3号院,3室2厅,南北,8,精装,有电梯,139,750,2015,1.01E+11,
门头沟,丽景长安,2室1厅,南北,23,其他,有电梯,92,442,2012,1.01E+11,
门头沟,含晖苑,2室1厅,西南,6,精装,无电梯,100,420,2007,1.01E+11,
门头沟,黑山东街,1室1厅,南,7,简装,,41,178,1994,1.01E+11,
门头沟,丽景长安,2室1厅,南,26,其他,有电梯,88,440,2012,1.01E+11,
门头沟,城子西街1号院,2室1厅,南北,6,简装,无电梯,72,240,2005,1.01E+11,
门头沟,新桥家园,2室1厅,东,24,简装,有电梯,109,436,2003,1.01E+11,
门头沟,潭墅苑,2室1厅,南北,4,毛坯,无电梯,171,600,2006,1.01E+11,
门头沟,华润西山墅,5室4厅,南北,3,精装,有电梯,656,2900,2013,1.01E+11,
门头沟,倚山嘉园,1室1厅,西南,14,精装,有电梯,82,320,2004,1.01E+11,
门头沟,峪园小区,2室1厅,南北,6,其他,,96,320,1997,1.01E+11,
门头沟,润西山苑,4室2厅,南北,10,精装,有电梯,127,900,2014,1.01E+11,
门头沟,阁外山水,3室2厅,南北,7,其他,无电梯,139,515,2004,1.01E+11,
门头沟,丽景长安,3室1厅,南北,9,精装,有电梯,129,580,2012,1.01E+11,
门头沟,惠泽家园,2室1厅,南北,6,其他,,89,283,2010,1.01E+11,
门头沟,城子二斜井,3室1厅,南北,6,精装,无电梯,61,200,1980,1.01E+11,
门头沟,绿岛家园,4室2厅,南北,6,精装,无电梯,133,480,2006,1.01E+11,
门头沟,檀香府,4室1厅,南北,5,毛坯,,236,1300,2016,1.01E+11,
门头沟,华润西山墅,4室3厅,南北,5,精装,有电梯,541,2200,2013,1.01E+11,
门头沟,黑山大街15号,2室1厅,东西,6,精装,,88,268,1996,1.01E+11,
门头沟,德露苑,2室1厅,南北,7,简装,,93,310,1999,1.01E+11,
门头沟,向阳楼,3室1厅,南北,5,简装,无电梯,65,265,1970,1.01E+11,
门头沟,惠民家园,1室0厅,南,6,其他,无电梯,48,193,2009,1.01E+11,
门头沟,新桥家园,1室1厅,北,24,简装,有电梯,82,310,2003,1.01E+11,
门头沟,新桥路小区,2室1厅,南北,6,简装,,63,239,1992,1.01E+11,
门头沟,润西山苑,3室1厅,东西,6,其他,有电梯,117,560,2014,1.01E+11,
门头沟,西山环路6号院,3室1厅,南北,9,精装,,140,730,2015,1.01E+11,
门头沟,新桥路小区,2室1厅,南北,6,精装,无电梯,66,223,1992,1.01E+11,
门头沟,绿岛家园,2室2厅,南北,6,精装,无电梯,101,390,2003,1.01E+11,
门头沟,西山环路3号院,3室2厅,南北,7,毛坯,有电梯,140,950,2015,1.01E+11,
门头沟,梧桐苑栖凤园,2室1厅,南,24,精装,有电梯,83,386,2013,1.01E+11,
门头沟,中门花园良实家园,2室1厅,南北,6,其他,,89,320,2003,1.01E+11,
门头沟,惠民家园,1室0厅,南,6,简装,无电梯,47,200,2009,1.01E+11,
门头沟,承泽苑,3室1厅,南北,6,简装,无电梯,102,390,2001,1.01E+11,
门头沟,新桥大街61号院,3室1厅,南北,6,其他,无电梯,104,385,1995,1.01E+11,
门头沟,丽景长安,2室1厅,南北,26,其他,有电梯,91,440,2012,1.01E+11,
门头沟,矿建街268号院,2室1厅,南北,4,精装,无电梯,76,280,2007,1.01E+11,
门头沟,丽景长安,2室1厅,南北,26,精装,有电梯,92,425,2012,1.01E+11,
门头沟,丽景长安,2室1厅,南北,26,精装,有电梯,91,430,2012,1.01E+11,
门头沟,桥东街小区,2室1厅,南北,6,简装,无电梯,56,238,1982,1.01E+11,
门头沟,金泰丽湾悦栖山,2室1厅,南,21,毛坯,有电梯,92,406,2015,1.01E+11,
门头沟,金泰丽湾悦栖山,3室2厅,南北,21,精装,有电梯,140,603,2015,1.01E+11,
门头沟,润景公馆,2室1厅,东南,20,精装,有电梯,99,489,2011,1.01E+11,
门头沟,润西山苑,4室2厅,南北,10,精装,有电梯,211,1100,2012,1.01E+11,
门头沟,丽景长安,2室1厅,南,26,精装,有电梯,88,410,2012,1.01E+11,
门头沟,承泽苑,3室1厅,南北,6,简装,无电梯,112,400,2000,1.01E+11,
门头沟,阁外山水,4室1厅,东西,7,精装,无电梯,145,528,2004,1.01E+11,
门头沟,润西山苑,3室1厅,南北,10,精装,有电梯,128,660,2014,1.01E+11,
门头沟,皓月园,3室2厅,南,6,其他,无电梯,169,715,2005,1.01E+11,
门头沟,丽景长安,2室1厅,南,23,精装,有电梯,87,390,2012,1.01E+11,
门头沟,龙泉花园,2室1厅,东西,6,其他,无电梯,86,340,1996,1.01E+11,
门头沟,丽景长安,2室1厅,南,23,精装,有电梯,87,417,2012,1.01E+11,
门头沟,润景公馆,2室1厅,西南,20,简装,,103,505,2011,1.01E+11,
门头沟,桥东街小区,3室1厅,南北,6,其他,无电梯,64,245,1992,1.01E+11,
门头沟,冯村信园小区,3室1厅,东南,6,其他,无电梯,97,360,1997,1.01E+11,
门头沟,皓月园,1室0厅,北,14,精装,有电梯,46,198,2006,1.01E+11,
门头沟,永新小区,2室1厅,南北,6,其他,无电梯,61,239,1993,1.01E+11,
门头沟,中门花园良实家园,2室1厅,南北,6,简装,无电梯,99,310,2000,1.01E+11,
门头沟,惠民家园,2室1厅,东西,9,精装,有电梯,91,330,2010,1.01E+11,
门头沟,润西山苑,3室1厅,南北,10,精装,有电梯,130,950,2014,1.01E+11,
门头沟,丽景长安,2室1厅,南北,23,精装,,93,445,2012,1.01E+11,
门头沟,含晖苑,4室2厅,南北,6,精装,无电梯,164,650,2007,1.01E+11,
门头沟,新桥家园,1室1厅,东,24,精装,有电梯,84,330,2003,1.01E+11,
门头沟,黑山东街,2室1厅,南北,6,精装,无电梯,67,298,1996,1.01E+11,
门头沟,德露苑,5室2厅,南北,6,简装,无电梯,164,590,1997,1.01E+11,
